what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1390512503079
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390512503114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513158798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513226474
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1390513234696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513234709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513238072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513255355
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513261563
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390513261773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513271698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513274883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513279866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513283419
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390513285994
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390513286097
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390513286114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513295426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513298611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513308586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513311066
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390513311312
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1390513311339
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390513342620
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1390513395515
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1390513395516
started,bundle,org.eclipse.mylyn.java.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.ui",1390513395530
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1390513416286
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.17,"org.tigris.subversion.clientadapter.javahl",1390513416294
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.15,"org.tigris.subversion.clientadapter.svnkit",1390513416313
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1390513416567
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1390513418007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390513418946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1390513510587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390513514377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513544527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513544696
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390513554045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513557621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513559611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513564994
opened,view,com.android.ide.eclipse.ddms,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ddms.views.LogCatView",1390513653326
activated,view,com.android.ide.eclipse.ddms,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ddms.views.LogCatView",1390513653397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513653427
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390513653453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1390513659977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390513671218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1390513766470
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1390513838604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513838618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513853830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513855859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513864266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513872899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513873034
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390513874719
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513876370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513885403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513889012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513919003
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390513952662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513958307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513960659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390513964059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514009283
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1390514039468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514039484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514047698
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390514188039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514193057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514236202
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390514265604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514270018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514282282
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390514285530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1390514313465
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390514320752
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390514353956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514358881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514376449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1390514448373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390514450254
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390514454576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514459274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514474729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390514493025
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390514493531
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1390514506270
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390514507446
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1390514514276
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390514519344
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1390514541336
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390514550100
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390514553323
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390514555539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1390514581083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390514589240
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390514598170
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390514627618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514638410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514653041
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1390514655524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390514664371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1390514667313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514678400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514736554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514958327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390514961141
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1390515165349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1390515168633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390515168649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390515175108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390515181884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390515228922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390515229128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390515232743
